,Date,Open,High,Low,Volume,News Sentiment
114,2009-01-22,8224.429688,8224.830078,7957.140137,420040000,-0.258522093296051
115,2009-01-23,8108.790039,8152.589844,7909.029785,370510000,-0.2733705937862396
116,2009-01-26,8078.040039,8231.679688,8023.160156,316720000,-0.24030442535877228
117,2009-01-27,8117.390137,8225.790039,8083.140137,247750000,-0.2368793785572052
118,2009-01-28,8175.930176000001,8405.870117,8175.930176000001,357940000,-0.22372719645500183
119,2009-01-29,8373.05957,8373.139648,8137.939941,247450000,-0.2167409360408783
120,2009-01-30,8149.009765999999,8195.759766,7961.919922,303160000,-0.21760626137256622
121,2009-02-02,8000.620117,8000.620117,7867.370117,293890000,-0.20058123767375946
122,2009-02-03,7936.990234000001,8111.569823999999,7905.52002,313090000,-0.18859952688217163
123,2009-02-04,8070.319823999999,8162.149901999999,7929.259765999999,345520000,-0.19510357081890106
124,2009-02-05,7954.830078,8107.830078,7845.310059,390980000,-0.20133773982524872
125,2009-02-06,8056.379883,8312.370117,8052.240234000001,396380000,-0.20050710439682007
126,2009-02-09,8281.379883,8315.070313,8196.240234,289280000,-0.2032933533191681
127,2009-02-10,8269.360352,8269.44043,7848.740234000001,449890000,-0.19804656505584717
128,2009-02-11,7887.049805,7983.740234000001,7852.160156,270280000,-0.19187144935131073
129,2009-02-12,7931.970215,7938.819823999999,7693.97998,331960000,-0.1941908448934555
130,2009-02-13,7933.0,7970.839844,7840.450195,251960000,-0.19008679687976837
131,2009-02-17,7845.629883,7845.629883,7551.009765999999,332850000,-0.15289802849292755
132,2009-02-18,7546.350098000001,7617.759765999999,7479.970215,268220000,-0.13833177089691162
133,2009-02-19,7555.22998,7614.970215,7447.549805,301480000,-0.15010836720466614
134,2009-02-20,7461.490234000001,7469.290039,7249.470215,584900000,-0.15717490017414093
135,2009-02-23,7365.990234000001,7441.02002,7105.939941,406150000,-0.13531248271465302
136,2009-02-24,7115.339844,7378.970215,7114.299805,468010000,-0.1419839709997177
137,2009-02-25,7349.580078,7404.939941,7156.680176000001,450270000,-0.12954258918762207
138,2009-02-26,7269.060059,7402.310059,7173.560059,321300000,-0.1258087158203125
139,2009-02-27,7180.970215,7195.459961,7033.620117,667950000,-0.12950491905212402
140,2009-03-02,7056.47998,7058.950195,6755.169922,568670000,-0.15020939707756042
141,2009-03-03,6764.810059,6855.290039,6705.629883,445280000,-0.18272149562835693
142,2009-03-04,6726.5,6979.220215,6726.419922,464830000,-0.18457834422588348
143,2009-03-05,6874.009765999999,6874.009765999999,6544.100098,509770000,-0.17920607328414917
144,2009-03-06,6595.160156,6755.169922,6469.950195,425170000,-0.19467805325984955
145,2009-03-09,6625.740234000001,6709.609863000001,6516.859863000001,365990000,-0.23938728868961334
146,2009-03-10,6547.009765999999,6926.490234000001,6546.609863000001,640020000,-0.25322088599205017
147,2009-03-11,6923.129883,7015.060059,6867.549805,524430000,-0.24372237920761108
148,2009-03-12,6932.390137,7184.709961,6872.25,488690000,-0.2457343339920044
149,2009-03-13,7167.350098000001,7242.620117,7105.859863,479010000,-0.24485467374324799
150,2009-03-16,7225.330078,7392.910156,7206.850098000001,586970000,-0.2508150637149811
151,2009-03-17,7218.0,7396.810059,7172.049805,391880000,-0.2448830008506775
152,2009-03-18,7395.700195,7571.640137,7257.27002,584110000,-0.23922882974147797
153,2009-03-19,7489.680176000001,7548.459961,7369.259765999999,559920000,-0.22415365278720856
154,2009-03-20,7402.310059,7460.930176000001,7257.830078,672950000,-0.23180317878723145
155,2009-03-23,7279.25,7780.720215,7278.779785,515600000,-0.22127312421798706
156,2009-03-24,7773.470215,7796.569823999999,7646.990234000001,379670000,-0.2144646942615509
157,2009-03-25,7659.810059,7863.629883,7550.060059,454090000,-0.2257213592529297
158,2009-03-26,7752.359863,7931.330078,7752.279785,397260000,-0.23771557211875916
159,2009-03-27,7922.569823999999,7922.569823999999,7735.950195,323650000,-0.24417531490325928
160,2009-03-30,7773.310059,7773.390137,7437.589844,383260000,-0.24914856255054474
161,2009-03-31,7523.77002,7725.359863,7523.450195,399840000,-0.2441057711839676
162,2009-04-01,7606.129883,7789.0,7483.870117,361340000,-0.24227657914161682
163,2009-04-02,7763.990234000001,8075.72998,7763.990234000001,442820000,-0.23623807728290558
164,2009-04-03,7980.629883,8019.5,7897.240234000001,308210000,-0.23642350733280182
165,2009-04-06,8016.160156,8016.160156,7862.200195,247400000,-0.2216670662164688
166,2009-04-07,7968.919922,7969.080078,7762.080078,276920000,-0.212855264544487
167,2009-04-08,7788.680176000001,7887.52002,7750.850098000001,255350000,-0.22285574674606323
168,2009-04-09,7839.890137,8087.279785,7839.890137,462060000,-0.21173912286758423
169,2009-04-13,8082.02002,8113.410156,7963.75,424250000,-0.1652548760175705
170,2009-04-14,8057.410156,8057.410156,7902.259765999999,513010000,-0.15659144520759583
171,2009-04-15,7914.919922,8041.319823999999,7870.47998,413280000,-0.15888303518295288
172,2009-04-16,8029.140137,8168.120117,7962.709961,359470000,-0.1582268923521042
173,2009-04-17,8125.430176000001,8190.660156,8086.879883,537670000,-0.1537901610136032
174,2009-04-20,8128.939941,8128.939941,7840.450195,453660000,-0.15011917054653168
175,2009-04-21,7841.72998,7979.200195,7791.950195,424030000,-0.17138652503490448
176,2009-04-22,7964.779785,8044.830078,7868.009765999999,387030000,-0.18950296938419342
177,2009-04-23,7886.810059,7979.439941,7804.209961,327240000,-0.20143191516399384
178,2009-04-24,7957.450195,8127.5,7957.450195,402720000,-0.20119956135749817
179,2009-04-27,8073.819823999999,8122.560059,7987.160156,282990000,-0.19037626683712006
180,2009-04-28,8023.560059,8091.660156,7938.97998,274710000,-0.20833434164524078
181,2009-04-29,8018.310059,8257.570313,8017.910156,300340000,-0.19785530865192413
182,2009-04-30,8188.509765999999,8307.509766,8136.899901999999,341400000,-0.19871236383914948
183,2009-05-01,8167.410156,8219.80957,8099.310059,237360000,-0.20734408497810364
184,2009-05-04,8213.599609,8434.860352,8213.599609,354490000,-0.1946004033088684
185,2009-05-05,8425.549805,8458.120117,8362.780273,311490000,-0.19605740904808044
186,2009-05-06,8403.480469,8518.570313,8403.0,454480000,-0.19888359308242798
187,2009-05-07,8512.280273,8577.19043,8358.0,476640000,-0.20321835577487946
188,2009-05-08,8410.730469,8587.549805,8410.730469,428420000,-0.22425654530525208
189,2009-05-11,8569.230469,8569.230469,8410.330078,332630000,-0.21282993257045746
190,2009-05-12,8419.169922,8517.459961,8365.650391,334840000,-0.22621510922908783
191,2009-05-13,8461.799805,8462.040039,8262.429688,336930000,-0.23153448104858398
192,2009-05-14,8285.919922,8376.639648,8273.900391,323800000,-0.22311963140964508
193,2009-05-15,8326.219727,8394.959961,8230.169922,308820000,-0.2330068200826645
194,2009-05-18,8270.150391,8511.879883,8270.150391,288280000,-0.2014918327331543
195,2009-05-19,8502.480469,8538.009766,8463.540039,277710000,-0.18383966386318207
196,2009-05-20,8471.820313,8591.929688,8405.469727,468640000,-0.18595124781131744
197,2009-05-21,8416.070313,8416.150391,8221.009766,302280000,-0.18317490816116333
198,2009-05-22,8292.209961,8364.139648,8257.169922,244190000,-0.1878766417503357
199,2009-05-26,8277.320313,8495.709961,8226.900391,314760000,-0.19210702180862427
200,2009-05-27,8473.650391,8496.589844,8289.349609,285990000,-0.17557324469089508
201,2009-05-28,8300.5,8434.620117,8246.580078,290730000,-0.18135789036750793
202,2009-05-29,8404.040039,8522.950195,8368.519531,361910000,-0.17929580807685852
203,2009-06-01,8501.530273,8760.700195,8501.290039,354830000,-0.18467944860458374
204,2009-06-02,8721.599609,8787.129883,8693.719727,257560000,-0.1825927495956421
205,2009-06-03,8740.070313,8740.389648,8598.379883,252160000,-0.1785697042942047
206,2009-06-04,8675.280273,8751.25,8634.570313,237800000,-0.18305738270282745
207,2009-06-05,8751.75,8839.400391,8700.410156,254970000,-0.19682221114635468
208,2009-06-08,8759.349609,8823.969727,8633.070313,189630000,-0.16054441034793854
209,2009-06-09,8764.830078,8803.259766,8725.120117,187930000,-0.1658165156841278
210,2009-06-10,8763.660156,8834.929688,8639.950195,219920000,-0.17400862276554108
211,2009-06-11,8736.230469,8877.929688,8736.230469,249900000,-0.1623922735452652
